
DECIMAL       HEXADECIMAL     DESCRIPTION
467914968     0x1BE3D0D8      Zip archive data, at least v2.0 to extract, compressed size: 511, uncompressed size: 1674, name: -M-ACE-V-.YT
469023615     0x1BF4BB7F      JPEG image data, JFIF standard 1.01
469095323     0x1BF5D39B      PGP armored data, public key block
469162877     0x1BF6DB7D      HTML document header
469179179     0x1BF71B2B      Neighborly text, "neighborhood as by the knowledge that, when Jethro is seventy years old, he's still going to be talking like a hillbilly and weaears old, he's still going to be talking like a hillbilly and wearing bib overalls, and he's still going to be a lot richer than"
469214696     0x1BF7A5E8      Copyright string: "copyrighted and trademarked words on it; once you have taken that step, the clothing itself doesn't really matter, and so a t-sh"
469222514     0x1BF7C472      Neighborly text, "neighborhood) it is necessary for people to suspend judgment in this way. Hence (I would argue) our suspicion of, and hostility  this way. Hence (I would argue) our suspicion of, and hostility towards, all authority figures in modern culture. As David Fost"
469287723     0x1BF8C32B      Linux kernel version "2.0.30 (root@theRev) (gcc version 2.7.2.1) #15 Fri Mar 27 16:37:24 PST 1998 Dec 14 15:04:15 theRev kernel: Booting processor 1 s"
469289508     0x1BF8CA24      Copyright string: "copyright 1989 Regents of the University of California Dec 15 11:58:06 theRev kernel: PPP Dynamic channel allocation code copyri"
469289630     0x1BF8CA9E      Copyright string: "copyright 1995 Caldera, Inc. Dec 15 11:58:06 theRev kernel: PPP line discipline registered. Dec 15 11:58:06 theRev kernel: SLIP:"
469348031     0x1BF9AEBF      Copyright string: "Copyright 1992 by Patrick Y. Lee."
469348084     0x1BF9AEF4      Copyright string: "Copyright 1987 by Sparkware."
469348170     0x1BF9AF4A      Copyright string: "Copyright"
469363066     0x1BF9E97A      Copyright string: "copyright notice saying "Produced by"
469363111     0x1BF9E9A7      Copyright string: "Copyright (c) 1987 by Sparkware.  All Rights Reserved".  The"
469371016     0x1BFA0888      Copyright string: "copyright notice, it contains the BBSID of the BBS.  This 1-8 charac-"
469400843     0x1BFA7D0B      Copyright string: "copyright notice saying "Produced by"
469400888     0x1BFA7D38      Copyright string: "Copyright (c) 1987 by Sparkware.  All Rights Reserved".  The"
469409076     0x1BFA9D34      Copyright string: "copyright notice saying "Produced by"
469409121     0x1BFA9D61      Copyright string: "Copyright (c) 1987 by Sparkware.  All Rights Reserved".  The"
469424535     0x1BFAD997      Zip archive data, at least v2.0 to extract, compressed size: 865, uncompressed size: 1000, name: INTRO.COM
469425439     0x1BFADD1F      Zip archive data, at least v2.0 to extract, compressed size: 472, uncompressed size: 1000, name: INTRO.NFO
469426060     0x1BFADF8C      End of Zip archive, footer length: 22
469426296     0x1BFAE078      Zip archive data, at least v1.0 to extract, compressed size: 3467, uncompressed size: 3467, name: LOOP01.COM
469429859     0x1BFAEE63      End of Zip archive, footer length: 22
469430095     0x1BFAEF4F      Zip archive data, at least v2.0 to extract, compressed size: 3818, uncompressed size: 4038, name: LION.COM
469434005     0x1BFAFE95      End of Zip archive, footer length: 22
469434241     0x1BFAFF81      Zip archive data, at least v2.0 to extract, compressed size: 3672, uncompressed size: 3934, name: YELLOWR.COM
469437954     0x1BFB0E02      Zip archive data, at least v2.0 to extract, compressed size: 119, uncompressed size: 236, name: FILE_ID.DIZ
469438228     0x1BFB0F14      End of Zip archive, footer length: 22
469438465     0x1BFB1001      Zip archive data, at least v2.0 to extract, compressed size: 3923, uncompressed size: 4001, name: HAVOC.COM
469442482     0x1BFB1FB2      End of Zip archive, footer length: 22
469442719     0x1BFB209F      Zip archive data, at least v2.0 to extract, compressed size: 3944, uncompressed size: 4096, name: PRET.COM
469446755     0x1BFB3063      End of Zip archive, footer length: 22
469451294     0x1BFB421E      Zip archive data, at least v2.0 to extract, compressed size: 3981, uncompressed size: 4067, name: REDRUM.COM
469455371     0x1BFB520B      End of Zip archive, footer length: 22
469455608     0x1BFB52F8      Zip archive data, at least v2.0 to extract, compressed size: 4041, uncompressed size: 4096, name: 1FRAME.COM
469459745     0x1BFB6321      End of Zip archive, footer length: 22
469459982     0x1BFB640E      Zip archive data, at least v1.0 to extract, compressed size: 4096, uncompressed size: 4096, name: VIRUS.EXE
469464172     0x1BFB746C      End of Zip archive, footer length: 22
469464409     0x1BFB7559      Zip archive data, at least v2.0 to extract, compressed size: 3911, uncompressed size: 4034, name: ANIMATE.COM
469468361     0x1BFB84C9      Zip archive data, at least v2.0 to extract, compressed size: 777, uncompressed size: 1738, name: ANIMATE.TXT
469469293     0x1BFB886D      End of Zip archive, footer length: 22
469469528     0x1BFB8958      Zip archive data, at least v2.0 to extract, compressed size: 3896, uncompressed size: 4052, name: SPEED.EXE
469473463     0x1BFB98B7      Zip archive data, at least v2.0 to extract, compressed size: 722, uncompressed size: 1412, name: README.TXT
469474438     0x1BFB9C86      End of Zip archive, footer length: 63, comment: "---------- 'SPEED' 4kb intro ------------"
469474716     0x1BFB9D9C      Zip archive data, at least v2.0 to extract, compressed size: 3538, uncompressed size: 3692, name: SOFT.COM
469478292     0x1BFBAB94      Zip archive data, at least v2.0 to extract, compressed size: 2005, uncompressed size: 3909, name: SOFT.NFO
469480335     0x1BFBB38F      Zip archive data, at least v2.0 to extract, compressed size: 132, uncompressed size: 142, name: FILE_ID.DIZ
469480673     0x1BFBB4E1      End of Zip archive, footer length: 22
469480910     0x1BFBB5CE      Zip archive data, at least v2.0 to extract, compressed size: 6121, uncompressed size: 6233, name: REMIX2.EXE
469487127     0x1BFBCE17      End of Zip archive, footer length: 22
469487364     0x1BFBCF04      Zip archive data, at least v2.0 to extract, compressed size: 153, uncompressed size: 282, name: FILE_ID.DIZ
469487558     0x1BFBCFC6      Zip archive data, at least v2.0 to extract, compressed size: 4001, uncompressed size: 4092, name: CHROME2.COM
469491600     0x1BFBDF90      Zip archive data, at least v2.0 to extract, compressed size: 113, uncompressed size: 122, name: FOR_JURY.!!!
469491755     0x1BFBE02B      Zip archive data, at least v2.0 to extract, compressed size: 1668, uncompressed size: 4633, name: CHROME2.NFO
469493464     0x1BFBE6D8      Zip archive data, at least v2.0 to extract, compressed size: 159, uncompressed size: 178, name: README.1ST
469493948     0x1BFBE8BC      End of Zip archive, footer length: 22
469494185     0x1BFBE9A9      Zip archive data, at least v2.0 to extract, compressed size: 297, uncompressed size: 455, name: READ.ME
469494519     0x1BFBEAF7      Zip archive data, at least v2.0 to extract, compressed size: 4031, uncompressed size: 4095, name: FDREAMS.COM
469498591     0x1BFBFADF      Zip archive data, at least v2.0 to extract, compressed size: 119, uncompressed size: 169, name: FILE_ID.DIZ
469498751     0x1BFBFB7F      Zip archive data, at least v2.0 to extract, compressed size: 564, uncompressed size: 1503, name: FDREAMS.TXT
469501433     0x1BFC05F9      Zip archive data, at least v2.0 to extract, compressed size: 195, uncompressed size: 433, name: FILE_ID.DIZ
469501669     0x1BFC06E5      Zip archive data, at least v1.0 to extract, compressed size: 4048, uncompressed size: 4048, name: SNC_LBD2.COM
469505759     0x1BFC16DF      Zip archive data, at least v2.0 to extract, compressed size: 1272, uncompressed size: 2600, name: SNC_LBD2.NFO
469507073     0x1BFC1C01      Zip archive data, at least v2.0 to extract, compressed size: 2831, uncompressed size: 9893, name: SNCINFO.NFO
469509945     0x1BFC2739      Zip archive data, at least v2.0 to extract, compressed size: 509, uncompressed size: 996, name: WIRED96.NFO
469510782     0x1BFC2A7E      End of Zip archive, footer length: 22
469511018     0x1BFC2B6A      Zip archive data, at least v2.0 to extract, compressed size: 3921, uncompressed size: 4069, name: MAX.COM
469514976     0x1BFC3AE0      Zip archive data, at least v2.0 to extract, compressed size: 89, uncompressed size: 111, name: FILE_ID.DIZ
469515106     0x1BFC3B62      Zip archive data, at least v1.0 to extract, compressed size: 2499, uncompressed size: 2499, name: GTNGUOQN.COM
469517647     0x1BFC454F      Zip archive data, at least v2.0 to extract, compressed size: 1146, uncompressed size: 2868, name: -H-ACE-O-.HZ
469522163     0x1BFC56F3      Zip archive data, at least v1.0 to extract, compressed size: 4074, uncompressed size: 4074, name: WORLD.COM
469526276     0x1BFC6704      Zip archive data, at least v2.0 to extract, compressed size: 1016, uncompressed size: 1952, name: WORLD.NFO
469527331     0x1BFC6B23      Zip archive data, at least v2.0 to extract, compressed size: 211, uncompressed size: 538, name: FILE_ID.DIZ
469527583     0x1BFC6C1F      Zip archive data, at least v2.0 to extract, compressed size: 420, uncompressed size: 1333, name: SURESHOT.TXT
469528045     0x1BFC6DED      Zip archive data, at least v2.0 to extract, compressed size: 239, uncompressed size: 468, name: ETPNADGD.NFO
469533638     0x1BFC83C6      Zip archive data, at least v1.0 to extract, compressed size: 22011, uncompressed size: 63155, name: ACT-13.TXT
469556302     0x1BFCDC4E      Zip archive data, at least v2.0 to extract, compressed size: 23620, uncompressed size: 38864, name: GR8.EXE
469579959     0x1BFD38B7      Zip archive data, at least v2.0 to extract, compressed size: 586, uncompressed size: 1250, name: GR8.FC1
469580582     0x1BFD3B26      Zip archive data, at least v2.0 to extract, compressed size: 1138, uncompressed size: 1444, name: GR8.FC2
469581757     0x1BFD3FBD      Zip archive data, at least v2.0 to extract, compressed size: 996, uncompressed size: 3607, name: GR8.FC3
469582790     0x1BFD43C6      Zip archive data, at least v2.0 to extract, compressed size: 1363, uncompressed size: 3626, name: GR8.FC4
469584190     0x1BFD493E      Zip archive data, at least v2.0 to extract, compressed size: 1411, uncompressed size: 3692, name: GR8.FC5
469585638     0x1BFD4EE6      Zip archive data, at least v2.0 to extract, compressed size: 1343, uncompressed size: 3517, name: GR8.FC6
469587389     0x1BFD55BD      End of Zip archive, footer length: 22
469587626     0x1BFD56AA      Zip archive data, at least v2.0 to extract, compressed size: 50261, uncompressed size: 56287, name: VACDEMO.EXE
469638013     0x1BFE1B7D      End of Zip archive, footer length: 22
469646899     0x1BFE3E33      HTML document header
469690601     0x1BFEE8E9      HTML document footer
469690822     0x1BFEE9C6      Zip archive data, at least v2.0 to extract, compressed size: 48262, uncompressed size: 49761, name: XCURSION.EXE
469739126     0x1BFFA676      Zip archive data, at least v2.0 to extract, compressed size: 1113, uncompressed size: 2827, name: XCURSION.TXT
469740281     0x1BFFAAF9      Zip archive data, at least v2.0 to extract, compressed size: 212, uncompressed size: 486, name: FILE_ID.DIZ
469740534     0x1BFFABF6      Zip archive data, at least v2.0 to extract, compressed size: 2485, uncompressed size: 2530, name: DRYLWURJ.COM
469743061     0x1BFFB5D5      Zip archive data, at least v2.0 to extract, compressed size: 1164, uncompressed size: 2878, name: -D-ACE-R-.YL
469747927     0x1BFFC8D7      Zip archive data, at least v2.0 to extract, compressed size: 60207, uncompressed size: 63281, name: LITHIUM.EXE
469808175     0x1C00B42F      Zip archive data, at least v2.0 to extract, compressed size: 167, uncompressed size: 220, name: LITHIUM.TXT
469808383     0x1C00B4FF      Zip archive data, at least v2.0 to extract, compressed size: 50, uncompressed size: 66, name: FILE_ID.DIZ
469808474     0x1C00B55A      Zip archive data, at least v2.0 to extract, compressed size: 1275, uncompressed size: 2937, name: JUHLA4.RES
469810016     0x1C00BB60      End of Zip archive, footer length: 22
469810251     0x1C00BC4B      Zip archive data, at least v2.0 to extract, compressed size: 652, uncompressed size: 1111, name: NOTES.TXT
469810942     0x1C00BEFE      Zip archive data, at least v1.0 to extract, compressed size: 36, uncompressed size: 36, name: FILE_ID.DIZ
469811019     0x1C00BF4B      Zip archive data, at least v2.0 to extract, compressed size: 61867, uncompressed size: 63765, name: DEMO.EXE
469873090     0x1C01B1C2      End of Zip archive, footer length: 22
469873326     0x1C01B2AE      Zip archive data, at least v2.0 to extract, compressed size: 450, uncompressed size: 890, name: INFO
469873810     0x1C01B492      Zip archive data, at least v2.0 to extract, compressed size: 89, uncompressed size: 123, name: FILE_ID.DIZ
469873940     0x1C01B514      Zip archive data, at least v2.0 to extract, compressed size: 62090, uncompressed size: 63994, name: CLONE.EXE
469936231     0x1C02A867      End of Zip archive, footer length: 22
469936466     0x1C02A952      Zip archive data, at least v2.0 to extract, compressed size: 85, uncompressed size: 121, name: FILE_ID.DIZ
469936608     0x1C02A9E0      Zip archive data, at least v2.0 to extract, compressed size: 62257, uncompressed size: 63845, name: PAPER.EXE
469998920     0x1C039D48      Zip archive data, at least v2.0 to extract, compressed size: 1203, uncompressed size: 2692, name: PAPER.NFO
470000381     0x1C03A2FD      End of Zip archive, footer length: 22
470000622     0x1C03A3EE      Zip archive data, at least v2.0 to extract, compressed size: 1490, uncompressed size: 3860, name: BLIND.NFO
470002151     0x1C03A9E7      Zip archive data, at least v2.0 to extract, compressed size: 170, uncompressed size: 298, name: FILE_ID.DIZ
470002362     0x1C03AABA      Zip archive data, at least v2.0 to extract, compressed size: 63728, uncompressed size: 65429, name: BLIND.EXE
470066296     0x1C04A478      End of Zip archive, footer length: 22
470067327     0x1C04A87F      Zip archive data, at least v1.0 to extract, compressed size: 63474, uncompressed size: 63474, name: ALBATROS.EXE
470130843     0x1C05A09B      Zip archive data, at least v2.0 to extract, compressed size: 1109, uncompressed size: 4434, name: STORM.BBS
470131991     0x1C05A517      Zip archive data, at least v2.0 to extract, compressed size: 87, uncompressed size: 115, name: FILE_ID.DIZ
470132119     0x1C05A597      Zip archive data, at least v2.0 to extract, compressed size: 378, uncompressed size: 537, name: 2ORGANIZ.ERS
470132539     0x1C05A73B      Zip archive data, at least v2.0 to extract, compressed size: 1277, uncompressed size: 5552, name: ALBA'97.INF
470133857     0x1C05AC61      Zip archive data, at least v1.0 to extract, compressed size: 2544, uncompressed size: 2544, name: EHFOAPHI.COM
470136443     0x1C05B67B      Zip archive data, at least v2.0 to extract, compressed size: 279, uncompressed size: 1010, name: -E-ACE-H-.FO
470138414     0x1C05BE2E      Zip archive data, at least v2.0 to extract, compressed size: 63651, uncompressed size: 65536, name: TEDDY.EXE
470202104     0x1C06B6F8      Zip archive data, at least v2.0 to extract, compressed size: 499, uncompressed size: 2270, name: TEDDY.NFO
470202642     0x1C06B912      Zip archive data, at least v2.0 to extract, compressed size: 1776, uncompressed size: 7541, name: ECLIPSE.NFO
470204459     0x1C06C02B      Zip archive data, at least v2.0 to extract, compressed size: 118, uncompressed size: 228, name: FILE-ID.DIZ
470204618     0x1C06C0CA      Zip archive data, at least v2.0 to extract, compressed size: 72, uncompressed size: 79, name: FILE_ID.DIZ
470204731     0x1C06C13B      Zip archive data, at least v1.0 to extract, compressed size: 2527, uncompressed size: 2527, name: KMUPYBUQ.COM
470207300     0x1C06CB44      Zip archive data, at least v2.0 to extract, compressed size: 1160, uncompressed size: 2878, name: -K-ACE-M-.UP
470212014     0x1C06DDAE      Zip archive data, at least v2.0 to extract, compressed size: 177, uncompressed size: 237, name: FILE_ID.DIZ
470212232     0x1C06DE88      Zip archive data, at least v2.0 to extract, compressed size: 7881, uncompressed size: 22298, name: MAGIC64.DOC
470220154     0x1C06FD7A      Zip archive data, at least v2.0 to extract, compressed size: 67933, uncompressed size: 68820, name: MAGIC64F.EXE
470288301     0x1C0807AD      End of Zip archive, footer length: 22
470288541     0x1C08089D      Zip archive data, at least v2.0 to extract, compressed size: 3426, uncompressed size: 11135, name: ADMIRE.NFO
470292007     0x1C081627      Zip archive data, at least v2.0 to extract, compressed size: 74473, uncompressed size: 76360, name: SYMB.EXE
470366518     0x1C093936      Zip archive data, at least v2.0 to extract, compressed size: 187, uncompressed size: 440, name: FILE_ID.DIZ
470366913     0x1C093AC1      End of Zip archive, footer length: 22
470367148     0x1C093BAC      Zip archive data, at least v2.0 to extract, compressed size: 326825, uncompressed size: 467351, name: PAIMEN.EXE
470726637     0x1C0EB7ED      Zip archive data, at least v2.0 to extract, compressed size: 671983, uncompressed size: 1120578, name: WARFARE.DAT
472363158     0x1C27B096      PNG image, 700 x 189, 8-bit/color RGB, non-interlaced
472363259     0x1C27B0FB      Zlib compressed data, best compression
472849244     0x1C2F1B5C      PNG image, 550 x 364, 8-bit grayscale, non-interlaced
472849345     0x1C2F1BC1      Zlib compressed data, best compression
473581945     0x1C3A4979      HTML document header
473662175     0x1C3B82DF      HTML document footer
473662523     0x1C3B843B      HTML document header
473662848     0x1C3B8580      Copyright string: "Copyright" content="2005 by Murray Leinster">"
473707793     0x1C3C3511      HTML document footer
473708078     0x1C3C362E      HTML document header
473712102     0x1C3C45E6      Copyright string: "Copyright &copy; 2005 craigslist, inc.&nbsp;&nbsp;&nbsp;&nbsp;<a href="/about/terms.of.use.html">terms of use</a>&nbsp;&nbsp;&nb"
473712388     0x1C3C4704      HTML document footer
473712610     0x1C3C47E2      JPEG image data, JFIF standard 1.02
473712640     0x1C3C4800      TIFF image data, big-endian, offset of first image directory: 8
473713107     0x1C3C49D3      Copyright string: "Copyright Flag"
473713634     0x1C3C4BE2      JPEG image data, JFIF standard 1.02
473748833     0x1C3CD561      JPEG image data, JFIF standard 1.02
473748863     0x1C3CD57F      TIFF image data, big-endian, offset of first image directory: 8
473749330     0x1C3CD752      Copyright string: "Copyright Flag"
473749857     0x1C3CD961      JPEG image data, JFIF standard 1.02
473783391     0x1C3D5C5F      PNG image, 500 x 559, 8-bit grayscale, non-interlaced
473783486     0x1C3D5CBE      Zlib compressed data, best compression
473821956     0x1C3DF304      PNG image, 375 x 461, 8-bit grayscale, non-interlaced
473822057     0x1C3DF369      Zlib compressed data, best compression
473847371     0x1C3E564B      PNG image, 450 x 467, 8-bit/color RGB, non-interlaced
473847472     0x1C3E56B0      Zlib compressed data, best compression
473894383     0x1C3F0DEF      JPEG image data, JFIF standard 1.02
473894572     0x1C3F0EAC      Copyright string: "Copyright Flag"
473895197     0x1C3F111D      JPEG image data, JFIF standard 1.02
473925331     0x1C3F86D3      PNG image, 500 x 476, 8-bit/color RGB, non-interlaced
473925412     0x1C3F8724      Zlib compressed data, best compression
473966967     0x1C402977      PNG image, 550 x 432, 8-bit grayscale, non-interlaced
473967048     0x1C4029C8      Zlib compressed data, best compression
473993402     0x1C4090BA      JPEG image data, JFIF standard 1.01
474043468     0x1C41544C      PNG image, 450 x 222, 8-bit grayscale, non-interlaced
474043569     0x1C4154B1      Zlib compressed data, best compression
474071021     0x1C41BFED      JPEG image data, JFIF standard 1.01
474093265     0x1C4216D1      PNG image, 400 x 354, 8-bit grayscale, non-interlaced
474093346     0x1C421722      Zlib compressed data, best compression
474115430     0x1C426D66      JPEG image data, JFIF standard 1.02
474115460     0x1C426D84      TIFF image data, big-endian, offset of first image directory: 8
474115927     0x1C426F57      Copyright string: "Copyright Flag"
474116456     0x1C427168      JPEG image data, JFIF standard 1.02
474144887     0x1C42E077      PNG image, 600 x 373, 8-bit grayscale, non-interlaced
474144968     0x1C42E0C8      Zlib compressed data, best compression
474174114     0x1C4352A2      PNG image, 460 x 180, 8-bit grayscale, non-interlaced
474174215     0x1C435307      Zlib compressed data, best compression
474196964     0x1C43ABE4      PNG image, 400 x 595, 8-bit grayscale, non-interlaced
474197065     0x1C43AC49      Zlib compressed data, best compression
474242761     0x1C445EC9      PNG image, 600 x 297, 8-bit grayscale, non-interlaced
474242862     0x1C445F2E      Zlib compressed data, best compression
474278403     0x1C44EA03      JPEG image data, JFIF standard 1.02
474278592     0x1C44EAC0      Copyright string: "Copyright Flag"
474279241     0x1C44ED49      JPEG image data, JFIF standard 1.02
474306304     0x1C455700      JPEG image data, JFIF standard 1.01
474306505     0x1C4557C9      Copyright string: "Copyright Flag"
474307158     0x1C455A56      JPEG image data, JFIF standard 1.02
474353227     0x1C460E4B      JPEG image data, JFIF standard 1.01
474397045     0x1C46B975      PNG image, 400 x 444, 8-bit grayscale, non-interlaced
474397146     0x1C46B9DA      Zlib compressed data, best compression
474427755     0x1C47316B      PNG image, 400 x 255, 8-bit grayscale, non-interlaced
474427856     0x1C4731D0      Zlib compressed data, best compression
474445410     0x1C477662      JPEG image data, JFIF standard 1.02
474445599     0x1C47771F      Copyright string: "Copyright Flag"
474446128     0x1C477930      JPEG image data, JFIF standard 1.02
474495072     0x1C483860      PNG image, 420 x 331, 8-bit grayscale, non-interlaced
474495173     0x1C4838C5      Zlib compressed data, best compression
474516418     0x1C488BC2      JPEG image data, JFIF standard 1.01
474565730     0x1C494C62      PNG image, 360 x 299, 8-bit grayscale, non-interlaced
474565831     0x1C494CC7      Zlib compressed data, best compression
474584702     0x1C49967E      PNG image, 640 x 271, 8-bit grayscale, non-interlaced
474584803     0x1C4996E3      Zlib compressed data, best compression
474606893     0x1C49ED2D      PNG image, 400 x 299, 8-bit grayscale, non-interlaced
474606994     0x1C49ED92      Zlib compressed data, best compression
474611872     0x1C4A00A0      rzip compressed data - version 34.-80 (1238351595 bytes)
474624144     0x1C4A3090      PNG image, 400 x 276, 8-bit/color RGB, non-interlaced
474624245     0x1C4A30F5      Zlib compressed data, compressed
474652286     0x1C4A9E7E      PNG image, 640 x 195, 8-bit grayscale, non-interlaced
474652387     0x1C4A9EE3      Zlib compressed data, best compression
474685685     0x1C4B20F5      PNG image, 350 x 419, 8-bit grayscale, non-interlaced
474685786     0x1C4B215A      Zlib compressed data, best compression
474707725     0x1C4B770D      PNG image, 360 x 299, 8-bit grayscale, non-interlaced
474707826     0x1C4B7772      Zlib compressed data, best compression
474719767     0x1C4BA617      PNG image, 500 x 239, 8-bit grayscale, non-interlaced
474719868     0x1C4BA67C      Zlib compressed data, best compression
474740329     0x1C4BF669      PNG image, 700 x 460, 8-bit grayscale, non-interlaced
474740430     0x1C4BF6CE      Zlib compressed data, best compression
474774814     0x1C4C7D1E      PNG image, 500 x 518, 8-bit grayscale, non-interlaced
474774915     0x1C4C7D83      Zlib compressed data, best compression
474822443     0x1C4D372B      PNG image, 498 x 609, 8-bit/color RGB, non-interlaced
474822544     0x1C4D3790      Zlib compressed data, best compression
474861257     0x1C4DCEC9      PNG image, 600 x 519, 8-bit grayscale, non-interlaced
